player_id,year_id,school_name,conf_abbr,class,pos,g,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,adj_pass_yds_per_att,pass_td,pass_int,pass_rating
894,2020,LSU,SEC,SR,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,*2017,Oregon,Pac-12,FR,DL,4.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,
895,*2018,Oregon,Pac-12,SO,TE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,1.0,4.0,4.0,0.0,1.0,4.0,4.0,0.0,,,,,,,,,
895,*2019,Oregon,Pac-12,JR,TE,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,5.0,59.0,11.8,1.0,5.0,59.0,11.8,1.0,,,,,,,,,
895,*2020,Oregon,Pac-12,SR,TE,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,14.0,161.0,11.5,3.0,14.0,161.0,11.5,3.0,,,,,,,,,
896,*2017,Clemson,ACC,FR,DE,4.0,5.0,4.0,9.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
896,*2018,Clemson,ACC,SO,DE,6.0,4.0,3.0,7.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
896,*2019,Clemson,ACC,JR,DT,5.0,4.0,2.0,6.0,0.5,0.5,0.0,0.0,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
896,2020,Arkansas,SEC,SR,DL,6.0,3.0,5.0,8.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
897,2017,Pitt,ACC,FR,PK,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
897,*2018,Pitt,ACC,SO,PK,14.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
897,*2019,Pitt,ACC,JR,PK,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
897,2020,Pitt,ACC,SR,PK,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
898,*2017,Western Kentucky,CUSA,FR,DB,12.0,48.0,43.0,91.0,4.5,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
898,2018,Western Kentucky,CUSA,SO,DB,12.0,41.0,30.0,71.0,3.0,0.0,3.0,49.0,16.3,1.0,6.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
898,*2019,Western Kentucky,CUSA,JR,DB,13.0,48.0,46.0,94.0,2.5,0.0,1.0,25.0,25.0,1.0,8.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
898,*2020,Western Kentucky,CUSA,SR,DB,11.0,51.0,37.0,88.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
899,*2017,Navy,American,FR,S,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
899,2018,Navy,American,SO,CB,6.0,14.0,9.0,23.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
899,*2019,Navy,American,JR,CB,12.0,24.0,14.0,38.0,2.5,1.0,0.0,0.0,,0.0,5.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
899,2020,Navy,American,SR,CB,8.0,19.0,7.0,26.0,1.0,0.0,1.0,4.0,4.0,0.0,5.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
900,2016,Kansas,Big 12,FR,LS,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
900,2017,Kansas,Big 12,SO,LS,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
900,2019,Kansas,Big 12,JR,LS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
900,2020,Kansas,Big 12,SR,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,*2018,Marshall,CUSA,FR,RB,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,1.0,0.0,95.0,578.0,6.1,4.0,6.0,24.0,4.0,0.0,101.0,602.0,6.0,4.0,,,,,,,,,
901,*2019,Marshall,CUSA,SO,RB,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,270.0,1387.0,5.1,11.0,14.0,129.0,9.2,0.0,284.0,1516.0,5.3,11.0,,,,,,,,,
901,*2020,Marshall,CUSA,JR,RB,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,185.0,887.0,4.8,9.0,7.0,86.0,12.3,1.0,192.0,973.0,5.1,10.0,,,,,,,,,
903,2017,Buffalo,MAC,FR,DE,8.0,9.0,7.0,16.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
903,*2018,Buffalo,MAC,SO,DE,13.0,16.0,14.0,30.0,4.0,3.0,0.0,0.0,,0.0,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
903,*2019,Buffalo,MAC,JR,DE,11.0,21.0,12.0,33.0,11.0,8.0,0.0,0.0,,0.0,0.0,0.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
903,*2020,Buffalo,MAC,SR,DE,6.0,16.0,14.0,30.0,6.5,5.0,0.0,0.0,,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
905,*2018,Wisconsin,Big Ten,SO,WR,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,1.0,5.0,5.0,0.0,1.0,5.0,5.0,0.0,,,,,,,,,
905,*2019,Wisconsin,Big Ten,JR,WR,6.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,2.0,20.0,10.0,0.0,2.0,20.0,10.0,0.0,,,,,,,,,
905,*2020,Wisconsin,Big Ten,SR,WR,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,-8.0,-8.0,0.0,3.0,47.0,15.7,0.0,4.0,39.0,9.8,0.0,,,,,,,,,
906,2017,Cincinnati,American,FR,TE,1.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,1.0,15.0,15.0,0.0,1.0,15.0,15.0,0.0,,,,,,,,,
906,*2018,Cincinnati,American,SO,TE,4.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,7.0,45.0,6.4,0.0,7.0,45.0,6.4,0.0,,,,,,,,,
906,*2019,Cincinnati,American,JR,TE,1.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,2.0,9.0,4.5,1.0,2.0,9.0,4.5,1.0,,,,,,,,,
906,*2020,Cincinnati,American,SR,TE,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,10.0,81.0,8.1,1.0,10.0,81.0,8.1,1.0,,,,,,,,,
907,2018,North Dakota State,MVC,FR,QB,2.0,,,,,,,,,,,,,,,8.0,82.0,10.3,2.0,,,,,8.0,82.0,10.3,2.0,1.0,1.0,100.0,12.0,12.0,12.0,0.0,0.0,200.8
907,2019,North Dakota State,MVC,SO,QB,16.0,,,,,,,,,,,,,,,169.0,1100.0,6.5,14.0,,,,,169.0,1100.0,6.5,14.0,192.0,287.0,66.9,2786.0,9.7,11.7,28.0,0.0,180.6
907,2020,North Dakota State,MVC,JR,QB,1.0,,,,,,,,,,,,,,,15.0,143.0,9.5,2.0,,,,,15.0,143.0,9.5,2.0,15.0,30.0,50.0,149.0,5.0,4.8,2.0,1.0,107.1
908,*2018,Wisconsin,Big Ten,SO,OL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
908,*2020,Wisconsin,Big Ten,SR,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,*2019,Air Force,MWC,JR,OL,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
909,2020,Air Force,MWC,SR,OL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
910,*2018,Clemson,ACC,FR,QB,15.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,60.0,177.0,3.0,1.0,1.0,-12.0,-12.0,0.0,61.0,165.0,2.7,1.0,259.0,397.0,65.2,3280.0,8.3,9.3,30.0,4.0,157.6
910,*2019,Clemson,ACC,SO,QB,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,103.0,563.0,5.5,9.0,1.0,0.0,0.0,0.0,104.0,563.0,5.4,9.0,268.0,407.0,65.8,3665.0,9.0,9.9,36.0,8.0,166.7
910,*2020,Clemson,ACC,JR,QB,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,68.0,203.0,3.0,8.0,1.0,8.0,8.0,0.0,69.0,211.0,3.1,8.0,231.0,334.0,69.2,3153.0,9.4,10.2,24.0,5.0,169.2
912,*2017,Georgia,SEC,FR,DB,7.0,10.0,5.0,15.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
912,*2018,Georgia,SEC,SO,DB,14.0,45.0,29.0,74.0,1.0,0.0,1.0,29.0,29.0,0.0,3.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
912,*2019,Georgia,SEC,JR,DB,14.0,35.0,26.0,61.0,4.5,0.0,4.0,76.0,19.0,0.0,3.0,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
912,*2020,Georgia,SEC,SR,DB,5.0,16.0,10.0,26.0,1.0,0.0,3.0,38.0,12.7,0.0,4.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
913,*2017,Northwestern,Big Ten,FR,WR,13.0,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,18.0,235.0,13.1,2.0,21.0,235.0,11.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
913,*2018,Northwestern,Big Ten,SO,WR,14.0,,,,,,,,,,,,,,,9.0,35.0,3.9,1.0,22.0,214.0,9.7,3.0,31.0,249.0,8.0,4.0,0.0,0.0,,0.0,,,0.0,0.0,
913,2019,Northwestern,Big Ten,JR,WR,12.0,,,,,,,,,,,,,,,3.0,6.0,2.0,0.0,51.0,430.0,8.4,2.0,54.0,436.0,8.1,2.0,0.0,0.0,,0.0,,,0.0,0.0,
913,*2020,Northwestern,Big Ten,SR,WR,8.0,,,,,,,,,,,,,,,6.0,2.0,0.3,0.0,20.0,214.0,10.7,2.0,26.0,216.0,8.3,2.0,2.0,2.0,100.0,48.0,24.0,24.0,0.0,0.0,301.6
914,*2017,Oregon,Pac-12,FR,CB,12.0,17.0,8.0,25.0,1.5,0.0,1.0,0.0,0.0,0.0,5.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
914,*2018,Oregon,Pac-12,SO,CB,13.0,38.0,14.0,52.0,0.0,0.0,3.0,14.0,4.7,0.0,9.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
